#,Business Name,Trade,Region,Google Reviews,Rating,Google Search (find website),Gmail Compose (pre-filled)
25,Illuminate Electrical Ltd,electricians,Tauranga,78,5.0,https://www.google.com/search?q=Illuminate+Electrical+Ltd+Tauranga+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+electrician+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Illuminate+Electrical+Ltd+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Tauranga+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
26,Alectrics Electrical | Electrician Hamilton,electricians,Hamilton,77,5.0,https://www.google.com/search?q=Alectrics+Electrical+%7C+Electrician+Hamilton+Hamilton+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+electrician+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Alectrics+Electrical+%7C+Electrician+Hamilton+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Hamilton+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
27,Bay Brothers Plumbing and Gas Ltd,plumbers,Tauranga,77,5.0,https://www.google.com/search?q=Bay+Brothers+Plumbing+and+Gas+Ltd+Tauranga+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+plumber+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Bay+Brothers+Plumbing+and+Gas+Ltd+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Tauranga+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
28,Plumbed Out,plumbers,Porirua,76,5.0,https://www.google.com/search?q=Plumbed+Out+Porirua+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+plumber+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Plumbed+Out+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Porirua+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
29,Leck Electrical,electricians,Auckland,75,5.0,https://www.google.com/search?q=Leck+Electrical+Auckland+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+electrician+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Leck+Electrical+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Auckland+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
30,Charged Up Electrical,electricians,Porirua,73,5.0,https://www.google.com/search?q=Charged+Up+Electrical+Porirua+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+electrician+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Charged+Up+Electrical+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Porirua+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
31,"Sentinel Homes Waikato Hamilton - House & Land Builder, Designer and Subdivider",builders,Hamilton,73,5.0,https://www.google.com/search?q=Sentinel+Homes+Waikato+Hamilton+-+House+%26+Land+Builder%2C+Designer+and+Subdivider+Hamilton+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+builder+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Sentinel+Homes+Waikato+Hamilton+-+House+%26+Land+Builder%2C+Designer+and+Subdivider+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Hamilton+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
32,Gallery Kitchens,carpenters,Napier,70,5.0,https://www.google.com/search?q=Gallery+Kitchens+Napier+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+carpenter+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Gallery+Kitchens+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Napier+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
33,Electric Avenue Electrical,electricians,Tauranga,68,5.0,https://www.google.com/search?q=Electric+Avenue+Electrical+Tauranga+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+electrician+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Electric+Avenue+Electrical+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Tauranga+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
34,Pipeman Expert Ltd.,plumbers,Upper Hutt,63,5.0,https://www.google.com/search?q=Pipeman+Expert+Ltd.+Upper+Hutt+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+plumber+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Pipeman+Expert+Ltd.+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Upper+Hutt+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
35,Drainage King,drainlayers,Christchurch,61,5.0,https://www.google.com/search?q=Drainage+King+Christchurch+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+drainlayer+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Drainage+King+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Christchurch+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
36,Three Ducks Solutions,drainlayers,Tauranga,59,5.0,https://www.google.com/search?q=Three+Ducks+Solutions+Tauranga+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+drainlayer+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Three+Ducks+Solutions+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Tauranga+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
37,Charged Electrical,electricians,New Plymouth,58,5.0,https://www.google.com/search?q=Charged+Electrical+New+Plymouth+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+electrician+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Charged+Electrical+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+New+Plymouth+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
38,Bronson Electrical Electrician Christchurch,electricians,Christchurch,58,5.0,https://www.google.com/search?q=Bronson+Electrical+Electrician+Christchurch+Christchurch+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+electrician+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Bronson+Electrical+Electrician+Christchurch+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Christchurch+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
39,Queenstown Electric,electricians,Queenstown,57,5.0,https://www.google.com/search?q=Queenstown+Electric+Queenstown+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+electrician+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Queenstown+Electric+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Queenstown+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
40,Kamo Kitchens,carpenters,Whangārei,55,5.0,https://www.google.com/search?q=Kamo+Kitchens+Whang%C4%81rei+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+carpenter+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Kamo+Kitchens+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Whang%C4%81rei+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
41,XP Electrical,electricians,Hamilton,54,5.0,https://www.google.com/search?q=XP+Electrical+Hamilton+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+electrician+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+XP+Electrical+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Hamilton+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
42,Hutt Valley Plumbing,plumbers,Lower Hutt,54,5.0,https://www.google.com/search?q=Hutt+Valley+Plumbing+Lower+Hutt+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+plumber+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Hutt+Valley+Plumbing+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Lower+Hutt+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
43,Rapid Wire Electrical - Mastercraft Electrical Taranaki,electricians,New Plymouth,53,5.0,https://www.google.com/search?q=Rapid+Wire+Electrical+-+Mastercraft+Electrical+Taranaki+New+Plymouth+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+electrician+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Rapid+Wire+Electrical+-+Mastercraft+Electrical+Taranaki+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+New+Plymouth+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
44,Wattex Electrical Limited,electricians,Upper Hutt,51,5.0,https://www.google.com/search?q=Wattex+Electrical+Limited+Upper+Hutt+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+electrician+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Wattex+Electrical+Limited+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Upper+Hutt+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
45,Top2 Renovation and Building services,builders,Dunedin,51,5.0,https://www.google.com/search?q=Top2+Renovation+and+Building+services+Dunedin+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+builder+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Top2+Renovation+and+Building+services+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Dunedin+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
46,Ka Pai Plumbing,plumbers,Porirua,48,5.0,https://www.google.com/search?q=Ka+Pai+Plumbing+Porirua+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+plumber+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Ka+Pai+Plumbing+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Porirua+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
47,Natural Edge Joinery,carpenters,Hastings,47,5.0,https://www.google.com/search?q=Natural+Edge+Joinery+Hastings+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+carpenter+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Natural+Edge+Joinery+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Hastings+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
48,iPlumb NZ Ltd,plumbers,Dunedin,42,5.0,https://www.google.com/search?q=iPlumb+NZ+Ltd+Dunedin+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+plumber+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+iPlumb+NZ+Ltd+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Dunedin+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
49,GoFox Electrical Whangarei,electricians,Whangārei,41,5.0,https://www.google.com/search?q=GoFox+Electrical+Whangarei+Whang%C4%81rei+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+electrician+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+GoFox+Electrical+Whangarei+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+Whang%C4%81rei+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
50,Re:Lume Electrical,electricians,New Plymouth,41,5.0,https://www.google.com/search?q=Re%3ALume+Electrical+New+Plymouth+NZ+contact+email,https://mail.google.com/mail/?view=cm&fs=1&su=Your+electrician+business+is+listed+on+TradieTools+%E2%80%94+claim+it+free&body=Hi+there%2C%0A%0AI+noticed+Re%3ALume+Electrical+is+already+listed+on+TradieTools.nz+%E2%80%94+a+new+NZ+tradie+directory.+Your+listing+is+live+but+unclaimed%2C+so+homeowners+in+New+Plymouth+can%27t+see+your+contact+details.%0A%0AClaiming+your+free+listing+takes+5+minutes%3A+tradietools.nz%2Fsignup%2F%0A%0ANo+card+required.+Happy+to+answer+any+questions.%0A%0ACheers%2C%0ABen+Walsh%0ATradieTools+NZ%0Atradietools.nz
